NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,PAKIRANJE,MARKA,MALOPRODAJNA_CIJENA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Sapun iz Provanse SK10,5603194,0.1,100g,Pakovanje,Duc de Coeur,0.79,7.9,4056489566304,Kozmetika,0.79
Sapun iz Provanse SK10,5603194,0.1,100g,Pakovanje,Duc de Coeur,0.79,7.9,4056489762027,Kozmetika,0.79
Cidre Rosé,5605652,0.773,"0,75l",Boca,André Jalbert,2.29,3.05,4056489278580,Piæe,2.29
"Macarons, 12komada SK1",5610212,0.148,148g,Kart. na prekl.,Duc de Coeur,3.99,26.96,4056489137771,Hrana,3.99
Sapuni iz Provanse SK7,5615510,0.1,100g,Pakovanje,Duc de Coeur,0.79,7.9,4335619018419,Kozmetika,0.79
Tart s crvenim bobièastim voæem ,5616875,0.47,500g,Kart. na prekl.,Duc de Coeur,5.99,11.98,4056489727439,Hrana,5.99
Premium humus s bijelim tartufima,5617239,0.135,135g,Posudica,Deluxe,1.99,14.74,4056489727361,Hrana,1.99
Blub blub Party piæe jagoda,5618882,0.75,"0,75l",Boca,Solevita,2.05,2.73,4056489568827,Piæe,2.05
Salama XXL SK3,5619941,0.12,120g,Atmos-Pakiranje,French Style,1.99,16.58,20928421,Hrana,1.99
Puding s keksom,5700100,0.5,4x125g,Pakovanje,Sol&Mar,1.79,3.58,20797782,Hrana,1.79
Magdalenas kolaèiæi,5700155,0.615,615g,Vrecica,Sol&Mar,3.89,6.33,4056489409076,Hrana,3.89
"Salama Chorizo, narezana",5700179,0.2,2x100g,Atmos-Posudica,Sol&Mar,2.49,12.45,20332068,Hrana,2.49
Suha hrana za pse ,5700250,4,4kg,Vrecica,Orlando,6.99,1.75,20528263,Proizvodi za kuæanstvo,6.99
Parfem D'Elle,5715012,0.085,100ml,Boca,Suddenly,5.99,59.9,4056489575306,Kozmetika,5.99
Proteinski štapiæ (280ml) SK1,5715036,0.182,"4x45,5g",Kart. na prekl.,Gelatelli,4.49,24.67,4056489576266,Hrana,4.49
Torta SK1,5715976,0.18,2x90g,Pakovanje,Milbona,1.39,7.72,4056489689140,Hrana,1.39
Èokoladna krema SK1,5716262,0.13,130g,Posudica,Deluxe,1.79,13.77,4056489689881,Hrana,1.79
Mirisni štapiæi za prostor SK11,5717281,0.046,50ml,Boca,W5,1.69,33.8,4056489690283,Sredstva za èišæenje,1.69
Punjene masline SK1,5717443,0.41,"410ml, 425ml",Limenka,Sol&Mar,1.79,4.37,20033361,Hrana,1.79
"Sangria frizzante 5,5%",5718789,0.75,"0,75l",Staklo,Sol&Mar,2.79,3.72,4056489963486,Piæe,2.79
Fuet SK1,5719775,0.15,150g,Kart. na prekl.,Deluxe,2.15,14.33,4335619074484,Hrana,2.15
Mini kukuruzni vafli s okusom SK1,5720512,0.075,75g,Vrecica,Tastino,1.16,15.47,4335619107489,Hrana,1.16
Miris za dom Španjolska SK1,5720543,0.088,90ml,Pakovanje,,3.49,38.78,4335619107687,Sredstva za èišæenje,3.49
La Estepena kolaè SK2,5721423,0.25,250g,Kart. na prekl.,,5.59,22.36,8410282204034,Hrana,5.59
Jastuèiæi od tijesta punjeni s koz.,5900134,0.42,420g,Plitica,Sol&Mar,2.59,6.17,20085483,Hrana,2.59
Pašteta od sardina,5901268,0.088,4x22g,Limenka,Sol&Mar,1.79,20.34,20095253,Hrana,1.79
Bio napitak od soje èokolada,5910877,1.03,1l,Pakovanje,Vemondo,1.69,1.69,4056489695400,Hrana,1.69
Pastel de Nata razne vrste SK1,5911136,0.24,"240g,4x60g",Pakovanje,Sol&Mar,2.79,11.63,4056489695820,Hrana,2.79
Umak sa školjkama SK1,6000049,0.35,350g,Pakovanje,Italiamo,2.99,8.54,20334628,Hrana,2.99
Grana Padano 20mj. dozrijevan,6000065,0.2,200g,Atmos-Posudica,Deluxe,4.19,20.95,20443931,Hrana,4.19
Vrganji,6000066,0.3,300g,Vrecica,Deluxe,3.39,11.3,4056489720546,Hrana,3.39
Mljeveni èili u maslinovom ulju,6000091,0.17,170g,Staklo,Deluxe,1.99,11.71,20422103,Hrana,1.99
Svježe punjena tjestenina SK6,6000209,0.25,250g,Atmos-Posudica,Chef Select,1.49,5.96,20284329,Hrana,1.49
Svježe punjena tjestenina SK6,6000209,0.25,250g,Atmos-Posudica,Chef Select,1.49,5.96,4056489097020,Hrana,1.49
Croissant s èokoladnom kremom,6000213,0.5,500g,Pakovanje,Confiserie Firenze,2.99,5.98,20254094,Hrana,2.99
Croissant s pasticcera kremom,6000214,0.5,500g,Pakovanje,Italiamo,2.89,5.78,20254100,Hrana,2.89
Panirani morski plodovi,6000287,0.3,300g,Vrecica,Italiamo,3.89,12.97,4056489722199,Hrana,3.89
Burrata meki sir,6000486,0.2,200g,Plitica,Italiamo,2.69,13.45,4056489042594,Hrana,2.69
Bio napitak od zobi 10%,6008601,1.021,1l,Pakovanje,Vemondo,1.19,1.19,20050900,Hrana,1.19
Tiramisu Superfresco,6008848,0.3,300g,Pakovanje,Deluxe,3.89,12.97,20815837,Hrana,3.89
Mascarpone 41% m.m.,6009179,0.5,500g,Posudica,Italiamo,3.99,7.98,4056489098614,Hrana,3.99
Kakao biskvit s mlijeè. punj.,6009231,0.12,4x30g,Pakovanje,Milbona,1.35,11.25,4056489098690,Hrana,1.35
Džem od sicilijanskog voæa SK1,6009284,0.36,360g,Staklo,Italiamo,2.99,8.31,4056489098904,Hrana,2.99
Proteini,6011549,0.5,500g,Pakovanje,Optisana,1.39,2.78,4056489346678,Hrana,1.39
Svježi Panzerotti SK55,6012356,0.25,250g,Atmos-Posudica,Italiamo,1.79,7.16,4056489420491,Hrana,1.79
Svježi Panzerotti SK55,6012356,0.25,250g,Atmos-Posudica,Italiamo,1.79,7.16,4056489420507,Hrana,1.79
Grana Padano DOP 9 M,6012429,0.3,300g,Vakumir. pakov.,Milbona,5.19,17.3,4056489420873,Hrana,5.59
Burrata sa gorgonzolom,6013259,0.1,100g,Posudica,Deluxe,1.99,19.9,4056489523116,Hrana,1.99
Provoletta sir XXL SK4,6014188,0.165,165g,Atmos-Posudica,Italiamo,1.89,11.45,4056489630975,Hrana,1.89
Provoletta sir XXL SK4,6014188,0.165,165g,Atmos-Posudica,Italiamo,1.89,11.45,4056489630982,Hrana,1.89
Stakleni rezanci s povræem,6014528,0.2,200g,Atmos-Posudica,Vitasia,2.29,11.45,4056489632566,Hrana,2.29
Šunka,6014725,0.095,95g,Atmos-Posudica,Deluxe,2.29,24.11,4056489633181,Hrana,2.29
Maska s glazurom od kakaa,6016093,0.2,200g,Pakovanje,Let's have a party!,1.99,9.95,4056489796879,Hrana,1.99
Ravioli SK1,6016653,0.2,200g,Atmos-Posudica,Chef Select,1.88,9.4,4056489797418,Hrana,1.88
Ravioli SK1,6016653,0.2,200g,Atmos-Posudica,Chef Select,1.88,9.4,4056489797425,Hrana,1.88
Tjestenina SK5,6016823,0.5,500g,Vrecica,Italiamo,1.99,3.98,20848811,Hrana,1.99
Makaroni Bolognese,6017174,0.175,175g,Vrecica,Kania,1.69,9.66,4335619027183,Hrana,1.69
Jastuèiæi punjeni s kobasicom,6200012,1,1000g,Vrecica,Chef Select,4.49,4.49,20107185,Hrana,4.49
Crni papar u zrnu,6402799,0.014,14g,Vrecica,Kania,0.37,0.37,20756376,Hrana,0.37
Stolno bijelo vino,6402929,2,2l,PET-Boca,-,2.49,1.25,4304493256774,Piæe,2.79
Mješavina salata SK4,6403207,0.185,"170g,200g",Vrecica,Chef Select,1.19,7,20755645,Hrana,1.19
Voæni prutiæi SK13,6403633,0.15,5x30g,Pakovanje,Alesto,1.99,13.27,20755263,Hrana,1.99
Francuski Mix bez kukuruza,6403695,1,1000g,Vrecica,Freshona,2.39,2.39,4056489157663,Hrana,2.39
Paprika pasta SK1,6404019,0.16,160g,Tuba,Kuljanka,0.99,6.19,20755768,Hrana,0.99
"Sjeme. suncokreta, pržene, oguljene",6404489,0.1,100g,Vrecica,Alesto,0.62,6.2,20757076,Hrana,0.69
"Pureæi batak, cca. 750g",6406798,1,ca. 750g,Atmos-Pakiranje,-,3.99,3.99,2877770000000,Hrana,3.99
Negazirano piæe od jabuke 25%,6407588,0.2,"0,2l",Pakovanje,-,0.45,2.25,4056489158134,Piæe,0.45
"Pivska šunka, narezana",6700605,0.1,100g,Atmos-Pakiranje,Pikok,0.79,7.9,20493257,Hrana,0.79
Müsli ploèice s kakaom i naranèom,6700649,0.03,30g,Pakovanje,First Nice,0.29,0.29,20123567,Hrana,0.29
Müsli ploèice marelica,6700655,0.035,35g,Pakovanje,First Nice,0.29,0.29,20077266,Hrana,0.29
Zobena kaša SK14,6701260,0.065,65g,Vrecica,Crownfield,0.45,6.92,4056489064497,Hrana,0.45
Mesna rolada XXL SK1,6701633,0.625,625g,Vakumir. pakov.,Pikok,1.99,3.18,20493653,Hrana,1.99
Šunka SK1,6701933,0.3,300g,Limenka,Pikok,2.69,8.97,20671525,Hrana,2.69
Grickalice sa sirom XXL,6705098,0.3,300g,Vrecica,Snack Day,2.49,8.3,20839376,Hrana,2.49
Zobena kaša super food SK2,6706365,0.065,65g,Vrecica,Crownfield,0.59,9.08,20839505,Hrana,0.59
Zobena kaša s èokoladom,6706566,0.065,65g,Vrecica,Crownfield,0.45,6.92,4056489195863,Hrana,0.45
High Protein Èips SK1,6710331,0.04,40g,Pakovanje,,1.49,37.25,8594197510210,Hrana,1.49
High Protein Èips SK1,6710331,0.04,40g,Pakovanje,,1.49,37.25,8594197510227,Hrana,1.49
Müsli ploèice s kakaom i kokosom,6714743,0.03,30g,Pakovanje,Crownfield,0.29,0.29,4056489724391,Hrana,0.29
Müsli ploèice marelica - jogurt,6714745,0.03,30g,Pakovanje,Crownfield,0.29,0.29,4056489724360,Hrana,0.29
"Kuhana šunka, obiteljsko pakiranje",6715552,0.3,300g,Atmos-Pakiranje,Pikok,1.99,6.63,4056489725664,Hrana,1.99
Sredstvo za èišæenje WC-a SK1,6716078,1.057,1l,PET-Boca,W5,1.45,1.45,4056489909491,Sredstva za èišæenje,1.45
Kornet vanilija,6800437,0.055,55g,Vrecica,Ballino,0.39,7.09,20519773,Hrana,0.39
Štapiæi s kikirikijem,6900035,0.15,150g,Vrecica,Snack Day,0.85,5.67,20781255,Hrana,0.85
"Feferoni blagi, OM 320g",6900307,0.32,720ml,Staklo,Freshona,2.19,6.84,20438197,Hrana,2.39
Buðola,6900635,1,ca. 600g,Vakumir. pakov.,Okusi zavièaja,19.69,19.69,2206350000000,Hrana,19.69
Buðola,6900635,1,ca. 600g,Vakumir. pakov.,Okusi zavièaja,19.69,19.69,2503947000000,Hrana,19.69
Podravka Kokošja juha s tjesteninom,6900739,0.062,62g,Vrecica,,0.99,15.97,3850104003189,Hrana,0.99
Dolcela Puding SK1,6900762,0.156,"4x37g,4x45g",Vrecica,,2.09,11.61,3850104238307,Hrana,2.09
Fant Fix Gulaš i Paprikaš umak,6900770,0.065,65g,Vrecica,,1.39,21.38,3850104075537,Hrana,1.39
"'z bregov Kefir 3,5%",6901397,1,1000g,Pakovanje,,1.99,1.99,3850108030488,Hrana,1.99
Franck Èaj šumsko voæe,6901462,0.055,55g,Pakovanje,,2.29,41.64,3858881083813,Piæe,2.29
Svježa maðarica XXL,6901517,0.85,850g,Pakovanje,Okusi zavièaja,5.99,7.05,20778651,Hrana,5.99
"Varžak Cvjetni med, 900g",6901528,0.9,900g,Staklo,,5.95,6.61,3859888673847,Hrana,5.95
Mentol bomboni SK1,6901559,0.1,100g,Vrecica,Amanie,0.59,5.9,20778910,Hrana,0.59
Èips paprika XXL ,6901622,0.3,300g,Vrecica,Snack Day,1.59,5.3,20779429,Hrana,1.59
Kutjevo Graševina,6901647,0.744,"0,75l",Boca,,7.59,10.12,3850156001133,Piæe,7.59
Roštilj kobasice  XXL SK2,6901702,0.7,700g,Vakumir. pakov.,Pikok,3.69,5.27,20779375,Hrana,3.69
"Captain Morgan White Rum 37,5%",6901711,0.67,"0,7l",Boca,,11.59,16.56,5000281040899,Piæe,11.59
"Gordons Dry Gin 37,5%",6901713,0.7,"0,7l",Boca,,18.99,27.13,5000289925440,Piæe,18.99
"Traminac, kvalitetno bijelo vino",6901756,0.75,"0,75l",Boca,Winemakers of Croatia,5.49,7.32,4304493256736,Piæe,5.49
BO Beskvasni kruh SUS,6901825,0.4,400g,Rasuto,,1.39,3.48,3859888751668,Hrana,1.59
Èunga lunga žvakaæe gume Mega,6901905,0.015,15g,Pakovanje,,0.39,0.39,5310089001405,Hrana,0.39
"Delta Sušeni bakalar, cca.400-1000g",6901922,1,ca. 400-1000g,Vrecica,,49.9,49.9,2857560000000,Hrana,49.9
BO Punozrnati kruh,6901942,0.6,600g,Rasuto,,1.79,2.98,3859889133289,Hrana,1.79
BO Punozrnati kruh,6901942,0.6,600g,Rasuto,,1.79,2.98,3859893136559,Hrana,1.79
Champions Edition Èips paprika,6901946,0.25,250g,Vrecica,Snack Day,1.19,4.76,20780470,Hrana,1.19
Svježi sir 20% m.m.,6901956,0.5,500g,Posudica,Okusi zavièaja,1.85,3.7,20780449,Hrana,1.85
"Cockta Original 1,5l",6902053,1.5,"1,5l",PET-Boca,,1.78,1.19,3838600043045,Piæe,1.78
Kraš èokoladne Napolitanke ,6902160,0.5,500g,Kart. na prekl.,,6.29,12.58,3850102320073,Hrana,6.29
"Filet osliæa, Hubbsi",6902168,0.5,500g,Vrecica,Ocean Sea,4.79,9.58,20781064,Hrana,4.79
Dukat b.Aktiv LGG jogurt natur,6902220,1,1kg,PET-Boca,,2.82,2.82,3850354005933,Hrana,2.82
Zvijezda Majoneza 85g,6902240,0.085,85g,Vrecica,,1.09,12.82,3856015325228,Hrana,1.09
Zvijezda Majoneza 165g,6902241,0.165,165g,Tuba,,2.29,13.88,3858882210263,Hrana,2.29
Barkleys Classic SK10,6902264,0.05,50g,Limenka,,2.39,47.8,8717438743349,Hrana,2.39
Dukat b.Aktiv LGG Smoothie SK1,6902278,0.33,330g,PET-Boca,,1.82,5.52,3850354010999,Hrana,1.82
Dukat b.Aktiv LGG Smoothie SK1,6902278,0.33,330g,PET-Boca,,1.82,5.52,3850354015901,Hrana,1.82
"Mlada teletina za peèenje, cca. 2kg",6902353,1,cca. 2kg,Atmos-Pakiranje,Naša mesnica,8.59,8.59,2874960000000,Hrana,9.99
"Jaja podni uzgoj, razred L, 10 kom.",6902414,0.68,10komad,Pakovanje,Okusi zavièaja,2.69,0.27,3859891140077,Hrana,2.69
"Jaja podni uzgoj, razred L, 10 kom.",6902414,0.68,10komad,Pakovanje,Okusi zavièaja,2.69,0.27,4056489316992,Hrana,2.69
"Barcaffe mljevena kava, 400g",6902430,0.4,400g,Vrecica,,7.99,19.98,3838471041324,Piæe,7.99
Lješnjak prutiæi,6902433,0.18,180g,Pakovanje,Deluxe,3.29,18.28,40894126,Hrana,3.29
Baklava,6902540,0.5,500g,Pakovanje,Confiserie Firenze,3.99,7.98,20780708,Hrana,3.99
Koestlin Èajno pecivo musli&voæe,6902625,0.16,160g,Pakovanje,,1.49,9.31,3856014113512,Hrana,1.29
Agrolaguna Malvazija Istarska,6902628,0.75,"0,75l",Boca,,8.79,11.72,3858881190443,Piæe,8.79
Kraš Moto keksi kakao,6902642,0.36,360g,Pakovanje,,2.49,6.92,3850120200036,Hrana,2.49
Kraš Moto keksi kakao,6902642,0.36,360g,Pakovanje,,2.49,6.92,3850120601574,Hrana,2.49
Kinder Schoko-Bons,6902672,0.2,200g,Pakovanje,,3.69,18.45,8000500247792,Hrana,3.69
Euro-Milk Dragec Sir SK1,6902724,0.225,225g,Pakovanje,,2.75,12.22,3859889770460,Hrana,2.75
Pileæa posebna,6902748,1,1000g,Stanga,Pikok,2.89,2.89,40894621,Hrana,2.89
Faks Deterdžent lavanda&smilje,6902751,2.275,"2,275kg",Kutija,,11.99,0.34,3850105163691,Sredstva za èišæenje,11.99
Pileæa posebna XXL,6902781,1.25,1250g,Pakovanje,Pikok,2.69,2.15,40894645,Hrana,2.69
"Plavac, vrhunsko crno vino",6902846,0.747,"0,75l",Boca,Winemakers of Croatia,5.99,7.99,4304493258181,Piæe,5.99
"Svinjska rebra marinirana, ca. 500g",6902856,1,ca. 500g,Vakumir. pakov.,Naša mesnica,6.59,6.59,2228560000000,Hrana,6.59
Zvijezda Suncokretovo ulje,6902914,1.1,"1,2l",Boca,,1.85,1.54,3856015326652,Hrana,1.85
Duracell baterije AA,6902924,0.026,10komada,Pakovanje,,5.99,0.6,5000394019829,Proizvodi za kuæanstvo,5.99
Grèki jogurt natur,6902968,0.15,150g,Posudica,Pilos,0.65,4.33,40894300,Hrana,0.65
Mortadela s maslinama,6902986,0.15,150g,Atmos-Pakiranje,Pikok,1.79,11.93,40894249,Hrana,1.79
Pik Domaæa dimljena kobasica XXL,6903025,0.4,400g,Pakovanje,,3.39,8.48,3850139173697,Hrana,3.39
"Hamburger, cca. 400g",6903050,1,ca. 400g,Vakumir. pakov.,Pikok,6.99,6.99,2800030000000,Hrana,6.99
Vrhnje za šlag 36%,6903051,0.5,500g,Pakovanje,Pilos,2.35,4.7,40894355,Hrana,3.39
"Goveði biftek, cca. 2kg",6903089,1,ca. 2kg,Vakumir. pakov.,Naša mesnica,24.79,24.79,2895512000000,Hrana,28.99
"Goveði biftek, cca. 2kg",6903089,1,ca. 2kg,Vakumir. pakov.,Naša mesnica,24.79,24.79,2895517000000,Hrana,28.99
Dolcela Gingerbread keksiæi,6903158,0.43,430g,Kart. na prekl.,,2.29,5.33,3856020221515,Hrana,2.29
Hidra Izotonièno piæe limun,6903236,0.5,"0,5l",PET-Boca,,1.19,2.38,3850131005118,Piæe,1.19
Koko Meso mlade kokoši,6903247,1,"ca. 1,1kg",Vrecica,,2.19,2.19,2819435000000,Hrana,2.19
Gloria Cappuccino SK1,6903307,0.2,200g,Vrecica,,2.79,13.95,3858881087811,Piæe,2.79
Gloria Cappuccino SK1,6903307,0.2,200g,Vrecica,,2.79,13.95,3858881087828,Piæe,2.79
Hamburger,6903316,1,"ca. 1,2kg",Vakumir. pakov.,Pikok,5.99,5.99,2895690000000,Hrana,5.99
Lampioni Premium SK2,6903360,0.5,500g,Pakovanje,-,3.49,3.49,20251598,Proizvodi za kuæanstvo,3.49
Zvijezda Majoneza,6903779,0.4,400g,Pakovanje,,3.99,9.98,3856015331809,Hrana,3.99
Swisslion Išleri s Eurocremom,6903795,0.125,125g,Pakovanje,,1.09,8.72,8600946442111,Hrana,1.09
"Ožujsko Svijetlo pivo 5,0%, 4x0,5l",6904144,2,"4x0,5l",Limenka,,4.89,2.45,3850131986011,Piæe,4.45
"Flank Steak (Bauch), cca. 300g",6904154,1,ca. 300g,Vakumir. pakov.,-,17.99,17.99,2891580000000,Hrana,17.99
"Budweiser Svijetlo pivo 5%, 6x0,5l",6904156,3,"6x0,5l",Limenka,,6.99,2.33,8594403352122,Piæe,6.99
Ukrasna vreæica 12x39x9cm,6904173,0.044,1komad,Pakovanje,,0.89,0.89,6931688310331,Proizvodi za kuæanstvo,0.99
Ukrasna vreæica 32x26x12cm,6904180,0.046,1komad,Vrecica,,1.45,1.45,3856023020948,Proizvodi za kuæanstvo,1.45
Ukrasna vreæica 32x26x12cm,6904180,0.046,1komad,Vrecica,,1.45,1.45,3856023022942,Proizvodi za kuæanstvo,1.45
Ukrasna vreæica 32x26x12cm,6904180,0.046,1komad,Vrecica,,1.45,1.45,3858888911584,Proizvodi za kuæanstvo,1.45
Celofan 70x100cm,6904190,0.02,1komad,Pakovanje,,0.69,0.69,3858888053444,Proizvodi za kuæanstvo,0.69
"Jaja iz podnog uzgoja XXL, razred L",6904263,1.02,15komad,Pakovanje,Okusi zavièaja,2.39,0.16,4056489317104,Hrana,2.39
Kinder Èokolada,6904573,0.125,125g,Pakovanje,,1.69,13.52,4008400204727,Hrana,1.15
Mini Snack SK1,6904631,0.03,30g,Vrecica,Snack Day,0.35,0.35,4056489074007,Hrana,0.45
Mini Snack SK1,6904631,0.03,30g,Vrecica,Snack Day,0.35,0.35,4056489074014,Hrana,0.45
"Ožujsko svijetlo pivo 5%, 6x0,5l",6904646,3,3l,Limenka,,7.67,2.56,3850131005699,Piæe,7.67
Violeta Sredstvo za èišæenje poda ,6904929,0.999,1l,Boca,,1.45,1.45,3870128017238,Sredstva za èišæenje,1.45
Violeta Sredstvo za èiš. poda+proz.,6904932,1.86,"1,75l",Pakovanje,,3.19,1.82,3870128022256,Sredstva za èišæenje,3.19
"Svje. pileæa prsa, bk sk, cca. 500g",6905062,1,ca. 500g,Atmos-Pakiranje,Naša mesnica,5.89,5.89,2868650000000,Hrana,5.89
Hipp BIO mlij. kašica keks/jabuka  ,6905069,0.19,190g,Staklo,,1.65,8.68,9062300133148,Hrana,1.65
"Siti sort., ins. napitak SK2, 1000g",6905092,1,1000g,Vrecica,Freeway,3.89,3.89,4056489074878,Piæe,3.89
"Krušovice Pivo 4,2%",6905096,2,"4x0,5l",Limenka,,5.61,2.81,8594009922699,Piæe,5.61
Meri Merino det. Col. 75pranj.,6905163,4.613,"4,5l",Boca,,5.69,1.26,3580111105739,Sredstva za èišæenje,5.69
Pljukanci,6905190,0.4,400g,Vrecica,Okusi zavièaja,1.99,4.98,4056489075271,Hrana,1.99
Obiteljski svježi kolaèi,6905271,0.33,"330g, 345g",Pakovanje,Okusi zavièaja,5.49,15.91,4056489316749,Hrana,5.49
Indomie Instant juha okus piletina,6905279,0.35,5x70g,Pakovanje,,2.09,5.97,8606108584866,Hrana,2.09
Meri Merino Tekuæi deterdžent Color,6905282,2.7,"2,7l",PET-Boca,,7.19,0.16,3850111105791,Sredstva za èišæenje,7.19
"File otkoštenog zabatka, cca. 500g",6905305,1,ca. 500g,Atmos-Pakiranje,Naša mesnica,6.99,6.99,2868823000000,Hrana,6.99
Podravka Goveða kocka RETRO,6905312,0.12,120g,Pakovanje,,1.49,12.42,3856020245917,Hrana,1.49
Peèenica narezak,6905317,0.1,100g,Vakumir. pakov.,Pikok Pure,2.29,22.9,4056489612407,Hrana,2.29
Proteini.si Nat. BCAA Mar. Pas. fr.,6905328,0.2,200g,Vrecica,,12.49,62.45,3830069173202,Hrana,12.49
Kraš Domaæica Original Duopack,6905405,0.6,2x300g,Pakovanje,,4.49,7.48,3850102005710,Hrana,4.49
Eye round steak,6905443,0.22,220g,Vakumir. pakov.,Naša mesnica,5.29,24.05,4056489316923,Hrana,5.29
Lampioni L-104,6905500,0.74,4x160g,Pakovanje,-,3.99,1,4056489317135,Proizvodi za kuæanstvo,3.99
Graševina,6905538,2,2l,PET-Boca,,3.99,2,3859894096074,Piæe,3.99
"Svinj. carsko s dod. dima, cca.600g",6905859,1,ca. 600g,Vakumir. pakov.,-,9.49,9.49,2869050000000,Hrana,9.49
Dorina Èokolada SK1,6905966,0.231,"220g,250g",Pakovanje,,4.49,20.41,3850102123452,Hrana,4.49
Nektar jabuka 50%,6905992,2.06,2l,Pakovanje,Solevita,1.75,0.88,4056489317357,Piæe,1.75
Nektar naranèa 50%,6905993,2.06,2l,Pakovanje,Solevita,1.75,0.88,4056489317340,Piæe,1.75
Violeta Omekšivaè 114 pranja SK1,6906055,3.992,4l,Boca,,4.49,1.12,3870128028623,Sredstva za èišæenje,4.79
Vafli od smeðe riže SK15,7202044,0.12,120g,Pakovanje,Sondey,0.99,8.25,20962425,Hrana,0.99
"Smrznute kajzerice bijele, 12x63g",7204170,0.756,756g,Vrecica,-,1.99,2.63,3800210986616,Hrana,1.99
"Smrznute kajzerice bijele, 12x63g",7204170,0.756,756g,Vrecica,-,1.99,2.63,4052917047247,Hrana,1.99
Meat Revolution Gov.burg.sa sirom,7206485,0.25,250g,Vakumir. pakov.,,3.39,13.56,3800216653949,Hrana,3.39
Kajmak od kravljeg mlijeka,7206813,0.2,200g,Staklo,NOSTJA,3.29,16.45,4056489178965,Hrana,3.29
Mochi SK2,7207726,0.21,210g,Kart. na prekl.,Gelatelli,3.49,16.62,4056489941224,Hrana,3.49
Perutnina Ptuj Pileæi narezak SK2,7300183,0.143,"125g,180g",Atmos-Pakiranje,,1.99,11.06,3838977024470,Hrana,1.99
"Paloma Toaletni papir, 3-slojni",7300347,1.312,16x114Blatt,Pakovanje,,3.59,0.22,3838952028189,Proizvodi za kuæanstvo,3.59
Domaæi narezak SK3,7300421,0.1,100g,Atmos-Pakiranje,Pikok,1.59,15.9,20605681,Hrana,1.59
Domaæi narezak SK3,7300421,0.1,100g,Atmos-Pakiranje,Pikok,1.59,15.9,20605698,Hrana,1.59
Tirolska kobasica XXL,7300638,1,1000g,Stanga,Pikok,4.99,4.99,20606510,Hrana,4.99
Leone Sladolde na štapiæu SK2,7303384,0.152,"4x60ml,4x70ml",Kart. na prekl.,,2.29,9.54,3830053876157,Hrana,2.29
Curry zalogaj SK1,7712698,0.32,320g,Atmos-Pakiranje,Vitasia,2.29,7.16,4056489483885,Hrana,2.29
Vivil Bomboni bez šeæera sort.,7713799,0.12,120g,Vrecica,,1.79,14.92,4020400898621,Hrana,1.79
Vivil Bomboni bez šeæera sort.,7713799,0.12,120g,Vrecica,,1.79,14.92,4020400898713,Hrana,1.79
Proteinski prutiæ Creamy Bar SK1,7715083,0.04,40g,Pakovanje,-,1.59,1.59,4056489884934,Hrana,1.59
Majoneza,9000006,0.094,100ml,Vrecica,Kania,0.69,6.9,20964993,Hrana,0.75
Adriatikos bijeli sir (OM 500g),9000134,0.55,550g,Plitica,Pilos,4.69,9.38,20965334,Hrana,4.69
Toast bijeli,9000294,0.5,500g,Vrecica,Tastino,0.99,1.98,20967307,Hrana,0.99
Vinarija Èoka Ždrepèeva krv,9000359,1,1l,Boca,,4.25,4.25,8600102938076,Piæe,4.25
Nutrino Lab pire Power Mix,9002107,0.2,200ml,Vrecica,,1.69,8.45,8606019652920,Piæe,1.69
Toaletni papir XXL 4-slojni,9003160,2.112,24x120Blatt,Pakovanje,Floralys,5.49,0.23,4056489317548,Proizvodi za kuæanstvo,5.49
Best Food cikla (OM 450g),9003541,0.45,680g,Staklo,,1.29,2.87,5310354000980,Hrana,1.29
Bambi Plazma Keksi,9003831,0.3,300g,Pakovanje,,2.99,9.97,8600043000023,Hrana,2.99
Proteinski Cookies SK3,0158685,0.045,45g,Pakovanje,Sondey,1.59,1.59,4056489350859,Hrana,1.59
Roštilj kobasice SK1,0159509,0.2,200g,Vakumir. pakov.,Dulano,1.59,7.95,4056489368717,Hrana,1.59
Roštilj kobasice SK1,0159509,0.2,200g,Vakumir. pakov.,Dulano,1.59,7.95,4056489368724,Hrana,1.59
Krema za sunèanje Sensitive 50+,0159511,0.05,50ml,Tuba,Cien Sun,2.59,51.8,4056489601722,Kozmetika,2.59
Pizza Chorizo,0160573,0.36,360g,Kart. na prekl.,Sol&Mar,2.99,8.31,4056489349860,Hrana,2.99
Premium sladoled na štapiæu SK1,0160838,0.288,4x90ml,Kart. na prekl.,Gelatelli,2.92,8.11,4056489411178,Hrana,2.92
Slatka zaèinska paprika,0160935,0.049,49g,Staklo,Kania,1.06,1.06,4056489411864,Hrana,1.06
Krema od balsamica,0161305,0.3,250ml,PET-Boca,Acentino,1.09,4.36,4056489416951,Hrana,1.09
Vreæice za pseæi izmet [15µ],0161549,0.12,4x20komad,Kart. na prekl.,Orlando,1.65,0.02,4056489418849,Proizvodi za kuæanstvo,1.65
Kikiriki maslac SK1,0161598,0.34,340g,Staklo,MCENNEDY,2.69,7.91,4056489419136,Hrana,2.69
Mirisni osvježivaè prostora SK18,0161698,0.148,150ml,PET-Boca,W5,1.69,11.27,4056489232285,Sredstva za èišæenje,1.69
